start_day_inclusive,end_day_inclusive,sign_up_method,total_starts,total_completions,completion_rate_pct,avg_minutes_to_complete
2023-04-01,2023-04-28,email,672,499,74.26,2.58
2023-04-01,2023-04-28,google,525,394,75.05,0.81
2023-04-02,2023-04-29,email,724,539,74.45,2.52
2023-04-02,2023-04-29,google,559,421,75.31,0.77
2023-04-03,2023-04-30,email,776,578,74.48,2.37
2023-04-03,2023-04-30,google,624,461,73.88,0.73
2023-04-04,2023-05-01,email,845,634,75.03,2.17
2023-04-04,2023-05-01,google,684,505,73.83,0.71
2023-04-05,2023-05-02,email,910,690,75.82,2.14
2023-04-05,2023-05-02,google,745,558,74.9,0.66
2023-04-06,2023-05-03,email,988,744,75.3,2.01
2023-04-06,2023-05-03,google,808,604,74.75,0.64
2023-04-07,2023-05-04,email,1044,785,75.19,1.92
2023-04-07,2023-05-04,google,850,631,74.24,0.62
2023-04-08,2023-05-05,email,1096,825,75.27,1.84
2023-04-08,2023-05-05,google,891,662,74.3,0.6
2023-04-09,2023-05-06,email,1142,860,75.31,1.91
2023-04-09,2023-05-06,google,939,705,75.08,0.99
2023-04-10,2023-05-07,email,1205,911,75.6,1.82
2023-04-10,2023-05-07,google,992,750,75.6,0.93
2023-04-11,2023-05-08,email,1290,980,75.97,2.18
2023-04-11,2023-05-08,google,1056,804,76.14,0.88
2023-04-12,2023-05-09,email,1364,1034,75.81,2.09
2023-04-12,2023-05-09,google,1114,846,75.94,0.85
2023-04-13,2023-05-10,email,1465,1116,76.18,1.97
2023-04-13,2023-05-10,google,1194,903,75.63,0.81
2023-04-14,2023-05-11,email,1554,1189,76.51,2.35
2023-04-14,2023-05-11,google,1273,962,75.57,0.77
2023-04-15,2023-05-12,email,1650,1265,76.67,2.24
2023-04-15,2023-05-12,google,1339,1015,75.8,0.74
2023-04-16,2023-05-13,email,1711,1318,77.03,2.17
2023-04-16,2023-05-13,google,1415,1082,76.47,0.71
2023-04-17,2023-05-14,email,1792,1388,77.46,2.08
2023-04-17,2023-05-14,google,1495,1144,76.52,0.68
2023-04-18,2023-05-15,email,1897,1480,78.02,1.98
2023-04-18,2023-05-15,google,1610,1234,76.65,0.63
2023-04-19,2023-05-16,email,1984,1557,78.48,1.9
2023-04-19,2023-05-16,google,1682,1296,77.05,0.55
2023-04-20,2023-05-17,email,1975,1564,79.19,1.9
2023-04-20,2023-05-17,google,1712,1325,77.39,0.54
2023-04-21,2023-05-18,email,2005,1589,79.25,1.87
2023-04-21,2023-05-18,google,1742,1348,77.38,0.53
2023-04-22,2023-05-19,email,2024,1603,79.2,1.84
2023-04-22,2023-05-19,google,1754,1364,77.77,0.52
2023-04-23,2023-05-20,email,2020,1597,79.06,1.86
2023-04-23,2023-05-20,google,1780,1384,77.75,0.52
2023-04-24,2023-05-21,email,2038,1625,79.74,1.83
2023-04-24,2023-05-21,google,1791,1395,77.89,0.51
2023-04-25,2023-05-22,email,2045,1624,79.41,1.81
2023-04-25,2023-05-22,google,1809,1415,78.22,0.51
2023-04-26,2023-05-23,email,2032,1610,79.23,1.27
2023-04-26,2023-05-23,google,1797,1407,78.3,0.51
2023-04-27,2023-05-24,email,2028,1619,79.83,1.28
2023-04-27,2023-05-24,google,1797,1405,78.19,0.52
2023-04-28,2023-05-25,email,2034,1629,80.09,2.45
2023-04-28,2023-05-25,google,1824,1426,78.18,0.53
2023-04-29,2023-05-26,email,2044,1646,80.53,2.35
2023-04-29,2023-05-26,google,1832,1438,78.49,0.43
2023-04-30,2023-05-27,email,2053,1656,80.66,2.31
2023-04-30,2023-05-27,google,1861,1461,78.51,0.44
2023-05-01,2023-05-28,email,2077,1682,80.98,2.27
2023-05-01,2023-05-28,google,1863,1475,79.17,0.43
2023-05-02,2023-05-29,email,2076,1677,80.78,3.18
2023-05-02,2023-05-29,google,1869,1480,79.19,0.42
2023-05-03,2023-05-30,email,2087,1680,80.5,3.12
2023-05-03,2023-05-30,google,1869,1480,79.19,0.42
2023-05-04,2023-05-31,email,2078,1676,80.65,3.12
2023-05-04,2023-05-31,google,1880,1497,79.63,0.42
2023-05-05,2023-06-01,email,2081,1689,81.16,3.11
2023-05-05,2023-06-01,google,1893,1511,79.82,0.41
2023-05-06,2023-06-02,email,2109,1717,81.41,3.07
2023-05-06,2023-06-02,google,1917,1529,79.76,0.42
2023-05-07,2023-06-03,email,2120,1730,81.6,3.0
2023-05-07,2023-06-03,google,1930,1540,79.79,0.23
2023-05-08,2023-06-04,email,2129,1731,81.31,3.04
2023-05-08,2023-06-04,google,1959,1560,79.63,0.23
2023-05-09,2023-06-05,email,2130,1735,81.46,2.77
2023-05-09,2023-06-05,google,1975,1568,79.39,0.23
2023-05-10,2023-06-06,email,2113,1727,81.73,3.23
2023-05-10,2023-06-06,google,1971,1574,79.86,0.22
2023-05-11,2023-06-07,email,2076,1694,81.6,3.28
2023-05-11,2023-06-07,google,1970,1577,80.05,0.25
2023-05-12,2023-06-08,email,2050,1676,81.76,2.97
2023-05-12,2023-06-08,google,1944,1564,80.45,0.24
2023-05-13,2023-06-09,email,2007,1646,82.01,3.02
2023-05-13,2023-06-09,google,1933,1552,80.29,0.25
2023-05-14,2023-06-10,email,2006,1643,81.9,3.02
2023-05-14,2023-06-10,google,1906,1528,80.17,0.25
2023-05-15,2023-06-11,email,2012,1648,81.91,3.01
2023-05-15,2023-06-11,google,1894,1523,80.41,0.25
2023-05-16,2023-06-12,email,1992,1631,81.88,3.07
2023-05-16,2023-06-12,google,1858,1495,80.46,0.25
2023-05-17,2023-06-13,email,1963,1607,81.86,3.1
2023-05-17,2023-06-13,google,1823,1468,80.53,0.24
2023-05-18,2023-06-14,email,1962,1598,81.45,3.11
2023-05-18,2023-06-14,google,1812,1442,79.58,0.25
2023-05-19,2023-06-15,email,1956,1585,81.03,3.15
2023-05-19,2023-06-15,google,1821,1441,79.13,0.26
2023-05-20,2023-06-16,email,1967,1595,81.09,3.13
2023-05-20,2023-06-16,google,1838,1449,78.84,0.26
2023-05-21,2023-06-17,email,1972,1595,80.88,3.11
2023-05-21,2023-06-17,google,1850,1461,78.97,0.26
2023-05-22,2023-06-18,email,1959,1583,80.81,3.13
2023-05-22,2023-06-18,google,1849,1451,78.47,0.26
2023-05-23,2023-06-19,email,1986,1598,80.46,3.11
2023-05-23,2023-06-19,google,1901,1471,77.38,0.46
2023-05-24,2023-06-20,email,2129,1646,77.31,3.82
2023-05-24,2023-06-20,google,2045,1532,74.91,1.26
2023-05-25,2023-06-21,email,2216,1710,77.17,3.69
2023-05-25,2023-06-21,google,2103,1567,74.51,1.24
2023-05-26,2023-06-22,email,2267,1746,77.02,2.51
2023-05-26,2023-06-22,google,2143,1600,74.66,1.21
2023-05-27,2023-06-23,email,2334,1781,76.31,2.58
2023-05-27,2023-06-23,google,2173,1624,74.74,1.2
2023-05-28,2023-06-24,email,2344,1783,76.07,2.59
2023-05-28,2023-06-24,google,2197,1643,74.78,1.29
2023-05-29,2023-06-25,email,2354,1783,75.74,2.59
2023-05-29,2023-06-25,google,2211,1651,74.67,1.29
2023-05-30,2023-06-26,email,2397,1820,75.93,1.69
2023-05-30,2023-06-26,google,2240,1669,74.51,1.28
2023-05-31,2023-06-27,email,2431,1845,75.89,1.67
2023-05-31,2023-06-27,google,2284,1692,74.08,1.27
2023-06-01,2023-06-28,email,2467,1878,76.12,2.29
2023-06-01,2023-06-28,google,2296,1694,73.78,1.27
2023-06-02,2023-06-29,email,2507,1896,75.63,2.27
2023-06-02,2023-06-29,google,2317,1707,73.67,1.27
2023-06-03,2023-06-30,email,2508,1890,75.36,2.27
2023-06-03,2023-06-30,google,2304,1698,73.7,1.27
2023-06-04,2023-07-01,email,2509,1881,74.97,2.28
2023-06-04,2023-07-01,google,2295,1683,73.33,1.28
2023-06-05,2023-07-02,email,2509,1886,75.17,2.25
2023-06-05,2023-07-02,google,2284,1676,73.38,1.3
2023-06-06,2023-07-03,email,2506,1879,74.98,2.25
2023-06-06,2023-07-03,google,2268,1666,73.46,1.31
2023-06-07,2023-07-04,email,2534,1898,74.9,1.82
2023-06-07,2023-07-04,google,2297,1684,73.31,1.31
2023-06-08,2023-07-05,email,2548,1911,75.0,1.94
2023-06-08,2023-07-05,google,2292,1682,73.39,1.29
2023-06-09,2023-07-06,email,2554,1908,74.71,1.95
2023-06-09,2023-07-06,google,2309,1689,73.15,1.29
2023-06-10,2023-07-07,email,2573,1911,74.27,1.93
2023-06-10,2023-07-07,google,2304,1686,73.18,1.29
2023-06-11,2023-07-08,email,2539,1881,74.08,1.96
2023-06-11,2023-07-08,google,2285,1661,72.69,1.3
2023-06-12,2023-07-09,email,2531,1873,74.0,1.99
2023-06-12,2023-07-09,google,2306,1673,72.55,1.3
2023-06-13,2023-07-10,email,2517,1857,73.78,2.0
2023-06-13,2023-07-10,google,2306,1677,72.72,1.3
2023-06-14,2023-07-11,email,2520,1859,73.77,1.99
2023-06-14,2023-07-11,google,2324,1697,73.02,1.32
2023-06-15,2023-07-12,email,2510,1858,74.02,2.0
2023-06-15,2023-07-12,google,2327,1713,73.61,1.3
2023-06-16,2023-07-13,email,2491,1845,74.07,2.0
2023-06-16,2023-07-13,google,2319,1712,73.82,1.29
2023-06-17,2023-07-14,email,2478,1829,73.81,2.02
2023-06-17,2023-07-14,google,2312,1703,73.66,1.3
2023-06-18,2023-07-15,email,2470,1833,74.21,2.03
2023-06-18,2023-07-15,google,2307,1693,73.39,1.32
2023-06-19,2023-07-16,email,2458,1817,73.92,2.05
2023-06-19,2023-07-16,google,2329,1715,73.64,1.3
2023-06-20,2023-07-17,email,2412,1785,74.0,2.1
2023-06-20,2023-07-17,google,2273,1690,74.35,1.14
2023-06-21,2023-07-18,email,2251,1726,76.68,1.4
2023-06-21,2023-07-18,google,2131,1635,76.72,0.42
2023-06-22,2023-07-19,email,2163,1668,77.12,1.42
2023-06-22,2023-07-19,google,2081,1606,77.17,0.42
2023-06-23,2023-07-20,email,2131,1643,77.1,1.42
2023-06-23,2023-07-20,google,2076,1596,76.88,0.41
2023-06-24,2023-07-21,email,2077,1606,77.32,1.31
2023-06-24,2023-07-21,google,2070,1589,76.76,0.4
2023-06-25,2023-07-22,email,2049,1589,77.55,1.31
2023-06-25,2023-07-22,google,2049,1574,76.82,0.28
2023-06-26,2023-07-23,email,2046,1595,77.96,1.32
2023-06-26,2023-07-23,google,2034,1569,77.14,0.27
2023-06-27,2023-07-24,email,2024,1588,78.46,1.5
